Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Dealul Țiganului,țigan,3,47.807342793879,23.5335084906791,Satu Mare,Deal,4480,Dealul Țiganului,Geomil 25000,Limba română,Dealul Țiganului,PDT,Limba română
Linia Țigan,țigan,3,47.8779264344903,23.1826842288869,Satu Mare,Altele,10318,Linia Țigan,PDT,Limba română
Fața Țiganului,țigan,3,45.6008872757087,24.4800272066928,Sibiu,Altele,2722,Fața Țiganului,Geomil 25000,Limba română
Pârâul Țiganului,țigan,3,46.0610147304804,24.2695975480365,Sibiu,Vale,8606,Pârâul Țiganului,PDT,Limba română
Pârâul Țiganului,țigan,3,45.8713165905177,24.3765437995959,Sibiu,Vale,14800,Pârâul Țiganului,PDT,Limba română
Piscul Țiganului,țigan,3,45.5936281853691,24.310037817688,Sibiu,Înălțime,1459,Piscul Țiganului,Geomil 25000,Limba română
Piscul Țiganului,țigan,3,45.7622241319957,24.3248433451362,Sibiu,Înălțime,2527,Piscul Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,45.5714687926626,23.9890664862237,Sibiu,Vale,1162,Valea Țiganului,Geomil 25000,Limba română
Balta Țiganului Mălini,țigan,3,47.453839911232,26.0797094374981,Suceava,Localitate,4931,Balta Țiganului Mălini,PDT,Limba română
Dealul Țiganului,țigan,3,47.8617901601007,25.570135958671,Suceava,Deal,2286,Dealul Țiganului,Geomil 25000,Limba română
Dealul Țiganului,țigan,3,47.3674407108797,26.6258583803657,Suceava,Deal,8918,Dealul Țiganului,PDT,Limba română
Piciorul Țiganului,țigan,3,47.1789232014405,25.3093508330729,Suceava,Înălțime,9099,Piciorul Țiganului,Geomil 25000,Limba română
Plaiul Țiganului,țigan,3,47.391113155287,25.8888660711135,Suceava,Înălțime,9092,Plaiul Țiganului,PDT,Limba română
Țiganul,țigan,3,47.2922465410019,25.6379056086339,Suceava,Vale,10732,Țiganul,Geomil 25000,Limba română
Grindu Țiganului,țigan,3,43.7320100232646,25.1126683499556,Teleorman,Apă-deal-câmpie,319,Grindu Țiganului,Geomil 25000,Limba română,Grindul Țiganului,PDT,Limba română
